Ticker,Description,Price,Change %,Technical Rating,Volume,Change from Open %,Volume*Price,Market Capitalization,Number of Employees,Sector,Industry,"Change 1M, %","Change 1W, %",Exchange
TSLA,"Tesla, Inc.",179.05,3.23454797,Sell,104862281,2.99700874,18775591413.050003,565395584270,99290,Consumer Durables,Motor Vehicles,-8.03800719,-8.1135174,NASDAQ
AAPL,Apple Inc.,142.16,-0.34349807,Sell,76096762,-0.12645778,10817915685.92,2261498136460,164000,Electronic Technology,Telecommunications Equipment,-3.96541242,-3.8224748,NASDAQ
NVDA,NVIDIA Corporation,170.01,-0.97850778,Buy,46533595,-0.92657343,7911176485.95,418224586487,22473,Electronic Technology,Semiconductors,0.46091119,0.74069685,NASDAQ
AMZN,"Amazon.com, Inc.",89.09,-1.39457665,Sell,67398393,0.21372328,6004522832.37,908865343949.0002,1608000,Retail Trade,Internet Retail,-7.71700849,-5.35429725,NASDAQ
MSFT,Microsoft Corporation,245.42,-0.80032336,Sell,20609647,0.29628721,5058019566.74,1829476785481,221000,Technology Services,Packaged Software,-3.80967312,-3.76441063,NASDAQ
NFLX,"Netflix, Inc.",320.01,3.14252562,Strong Buy,14364032,-0.44797014,4596633880.32,142411017051,11300,Technology Services,Internet Software/Services,4.73930547,-0.12484005,NASDAQ
AMD,"Advanced Micro Devices, Inc.",68.59,-2.6678019,Sell,59056742,-1.29515038,4050701933.78,110591497560.99998,15500,Electronic Technology,Semiconductors,-11.64498261,-8.52227261,NASDAQ
LULU,lululemon athletica inc.,326.39,-12.84878908,Sell,9305963,-5.15502862,3037373263.5699997,43346151868,29000,Retail Trade,Internet Retail,-14.1779075,-15.44081453,NASDAQ
META,"Meta Platforms, Inc.",115.9,0.49423394,Neutral,26033353,0.52038161,3017265612.7000003,307328830950,71970,Technology Services,Internet Software/Services,-1.86282811,-6.14624666,NASDAQ
GOOGL,Alphabet Inc.,92.83,-0.93906734,Sell,28225423,-1.00245281,2620166017.09,1202959340698,156500,Technology Services,Internet Software/Services,-8.08000792,-7.57666268,NASDAQ
XOM,Exxon Mobil Corporation,103.54,-0.84275043,Sell,21298194,-1.00392007,2205215006.76,426408108311,63000,Energy Minerals,Integrated Oil,-7.00556853,-5.75277626,NYSE
GOOG,Alphabet Inc.,93.07,-0.93666844,Sell,21885092,-0.88391906,2036845512.44,1202959340698.0002,156500,Technology Services,Internet Software/Services,-8.26022671,-7.69612219,NASDAQ
COST,Costco Wholesale Corporation,483.02,0.33235013,Sell,4211114,1.66701747,2034052284.28,213786654807,304000,Retail Trade,Specialty Stores,-10.42744553,-2.32746244,NASDAQ
AVGO,Broadcom Inc.,544.72,2.56835128,Buy,3702806,-1.12897956,2016992484.32,226954164644,,Electronic Technology,Semiconductors,-1.14512821,0.72485207,NASDAQ
CVX,Chevron Corporation,168,-3.19234759,Sell,10754284,-2.49564713,1806719712,324851276367,42595,Energy Minerals,Integrated Oil,-8.35197207,-7.19770204,NYSE
UNH,UnitedHealth Group Incorporated,539.2,-1.59147321,Buy,2852394,-1.59326921,1538010844.8000002,503801024589,350000,Health Services,Managed Health Care,-1.5627282,0.56699493,NYSE
DOCU,"DocuSign, Inc.",49.16,12.36571429,Buy,30213493,3.429413,1485295315.8799999,9884804812.000002,7461,Technology Services,Packaged Software,4.44019545,5.49356223,NASDAQ
BABA,Alibaba Group Holding Limited,91.34,-3.00520336,Buy,15451700,-2.06926128,1411358278,249771081960.3444,254941,Retail Trade,Internet Retail,4.31703974,1.42127471,NYSE
WMT,Walmart Inc.,145.31,-2.33230273,Sell,9309818,-1.46470469,1352809653.58,391872008511,2300000,Retail Trade,Specialty Stores,-4.66474216,-5.16251142,NYSE
CRM,"Salesforce, Inc.",131.11,0.75309306,Sell,10287478,1.05595807,1348791240.5800002,131110000610,73541,Technology Services,Packaged Software,-18.18408736,-9.30409519,NYSE
BRK.A,Berkshire Hathaway Inc.,463000.02,0.04754311,Neutral,2781,0.26577359,1287603055.6200001,675244570345.2307,372000,Finance,Property/Casualty Insurance,-3.59789706,-3.01693969,NYSE
HD,"Home Depot, Inc. (The)",320.48,-1.11388812,Buy,3738438,-0.31106134,1198094610.24,326628732183.0001,490600,Retail Trade,Home Improvement Chains,-1.08336677,-2.28970395,NYSE
BAC,Bank of America Corporation,32.38,-0.18495684,Sell,36985545,0.84085955,1197591947.1000001,259766360903,208000,Finance,Major Banks,-14.45178336,-10.25498891,NYSE
BA,Boeing Company (The),179.54,0.25686844,Buy,6359002,-0.66943292,1141695219.08,107002822478.99998,142000,Electronic Technology,Aerospace & Defense,0.36896243,-1.82096571,NYSE
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,80.69,-0.13613861,Buy,13787901,-0.19789734,1112545731.69,407513528968.4892,65152,Electronic Technology,Semiconductors,-2.75970113,-0.99386503,NYSE
JPM,JP Morgan Chase & Co.,132.16,-0.54184226,Neutral,7957818,-0.03025719,1051705226.88,387652393867,271025,Finance,Major Banks,-4.35663627,-2.2195916,NYSE
MRK,"Merck & Company, Inc.",108.78,-1.86738836,Buy,9667825,-1.98233916,1051666003.5,275800373360.0001,68000,Health Technology,Pharmaceuticals: Major,-1.21685434,-1.14503817,NYSE
PFE,"Pfizer, Inc.",51.72,-0.11587486,Strong Buy,19933534,-0.05797101,1030962378.48,290320630368,79000,Health Technology,Pharmaceuticals: Major,3.17175344,1.59104302,NYSE
V,Visa Inc.,208.7,-0.19129603,Neutral,4928579,0.3799721,1028594437.3,430274160841,26500,Commercial Services,Miscellaneous Commercial Services,-3.82488479,-4.11651199,NYSE
BRK.B,Berkshire Hathaway Inc. New,306.39,0.13072323,Buy,3327110,0.35045198,1019393232.9,675244541177,372000,Finance,Property/Casualty Insurance,-3.83239171,-3.08714218,NYSE
LLY,Eli Lilly and Company,360.99,-2.90486565,Neutral,2787175,-3.21983914,1006142303.25,356341935647,35000,Health Technology,Pharmaceuticals: Major,-2.71909022,-3.67435159,NYSE
