Ticker,Description,Price,Change %,Technical Rating,Volume,Change from Open %,Volume*Price,Market Capitalization,Number of Employees,Sector,Industry,"Change 1M, %","Change 1W, %",Exchange
6098,COUNTRY GARDEN SVCS HLDGS CO LTD,20.25,-15.4488553,Buy,324754252,-4.92957746,6576273603,80786404795,223667,Finance,Real Estate Development,5.9100363,-15.4488553,HKEX
700,TENCENT HOLDINGS LIMITED,319,-2.02703004,Buy,8461679,0.18844221,2699275601,3092708160318,112771,Technology Services,Internet Software/Services,11.07241953,-2.02703004,HKEX
3690,MEITUAN,178.5,-5.30503979,Buy,14570917,-1.92307692,2600908684.5,1173695301137,100033,Transportation,Air Freight/Couriers,9.10757279,-5.30503979,HKEX
1030,SEAZEN GROUP LTD,3.55,-12.56157635,Buy,720302000,-0.28089888,2557072100,26305720928,32105,Finance,Real Estate Development,1.42857143,-12.56157635,HKEX
9988,ALIBABA GROUP HOLDING LTD,89.8,-2.23189771,Buy,19195502,0,1723756079.6,1945409159283,254941,Retail Trade,Internet Retail,12.3904853,-2.23189771,HKEX
1024,KUAISHOU TECHNOLOGY,68.8,-1.85449078,Buy,16141653,-0.57803468,1110545726.3999999,301751874218,28098,Technology Services,Information Technology Services,21.66224795,-1.85449078,HKEX
388,HONG KONG EXCHANGES & CLEARING,339.6,-1.79294106,Buy,2855658,-0.7597896,969781456.8,437498571739,2307,Finance,Investment Banks/Brokers,10.98039216,-1.79294106,HKEX
1299,AIA GROUP LIMITED,85.25,-0.29239766,Buy,11034509,0.82791248,940691892.25,1004550104004,,Finance,Multi-Line Insurance,8.59872611,-0.29239766,HKEX
9939,KINTOR PHARMACEUTICAL LTD,12.64,-11.85495119,Strong Sell,63390500,-2.76923077,801255920,5740112396,316,Health Technology,Biotechnology,-4.96240602,-11.85495119,HKEX
9626,BILIBILI INC,206.8,5.24173028,Buy,3872135,4.92135972,800757518,77934754764,12281,Technology Services,Packaged Software,63.09148265,5.24173028,HKEX
241,ALIBABA HEALTH INFORMATION TECH LTD,9.09,-3.29787234,Buy,81130259,-4.31578947,737474054.31,127045318477,1849,Technology Services,Information Technology Services,42.25352113,-3.29787234,HKEX
9618,JD.COM INC,230.2,-2.78716216,Buy,3084424,1.58870256,710034404.8,638321406664,385357,Retail Trade,Internet Retail,5.21023766,-2.78716216,HKEX
6618,JD HEALTH INTERNATIONAL INC,80.9,-4.43000816,Buy,7794437,-4.71142521,630569953.3000001,269179812908.99997,3305,Health Services,Medical/Nursing Services,18.79589189,-4.43000816,HKEX
2015,LI AUTO INC,83.55,-11.11702128,Neutral,7294691,-0.17921147,609471433.05,183151949534,11901,Consumer Durables,Motor Vehicles,7.04676078,-11.11702128,HKEX
719,SHANDONG XINHUA PHARMACEUTICAL CO,11.46,34.50702647,Strong Buy,52740200,21.39830508,604402692,19010500595,6533,Health Technology,Pharmaceuticals: Other,114.60674157,34.50702647,HKEX
9868,XPENG INC,41.75,-10.88580196,Buy,13943327,-2.90697674,582133902.25,79783340106,13978,Consumer Durables,Motor Vehicles,24.07131506,-10.88580196,HKEX
2318,PING AN INSURANCE(GROUP)CO.OF CHINA,51.25,-2.8436019,Buy,11048387,-1.34744947,566229833.75,966756339131,355982,Finance,Multi-Line Insurance,7.32984293,-2.8436019,HKEX
2382,SUNNY OPTICAL TECHNOLOGY GROUP,95.9,-10.45751634,Buy,5851304,-7.5216972,561140053.6,117206880996,24664,Electronic Technology,Electronic Components,5.50054773,-10.45751634,HKEX
960,LONGFOR GROUP HLDGS LTD,26.95,-8.6440678,Buy,20062829,-3.75,540693241.55,180110031738,44065,Finance,Real Estate Development,14.43737216,-8.6440678,HKEX
1211,BYD COMPANY LIMITED,209.8,-2.41860465,Neutral,2493581,-1.59474672,523153293.8,794023353503,288200,Consumer Durables,Motor Vehicles,9.55613577,-2.41860465,HKEX
1928,SANDS CHINA LTD,25.65,-2.47147918,Buy,19271356,-2.65654649,494310281.4,212850863601,25751,Consumer Services,Casinos/Gaming,22.14285714,-2.47147918,HKEX
1833,PING AN HEALTHCARE & TECHNO CO LTD,29.25,-5.03246445,Buy,16786168,-7.14285714,490995414,34459435426,3425,Retail Trade,Drugstore Chains,50.30833249,-5.03246445,HKEX
175,GEELY AUTOMOBILE HOLDINGS LIMITED,11.94,-4.784689,Neutral,40741580,-2.92682927,486454465.2,126114448972,44000,Consumer Durables,Motor Vehicles,4.92091388,-4.784689,HKEX
